feature,importance,importance_std
loan_percent_income,0.07851762550056464,0.0017874950959274262
loan_int_rate,0.05575320801879691,0.0024740474061590587
person_home_ownership,0.051373639538697724,0.0029511024515148994
person_income,0.04989362164427483,0.0019941252716897777
loan_intent,0.02877518895998643,0.0016983890769058172
loan_grade,0.01256561213987177,0.0011544086956652043
person_age,0.005253655379369532,0.0005426027953907837
person_emp_length,0.003829185500159857,0.00040497573300261354
loan_amnt,0.0016042512350782911,0.0006105066624874816
cb_person_default_on_file,0.0001292077342481962,5.264714037007121e-05
cb_person_cred_hist_length,-0.00017049854957545962,0.0002600894519794482
